model,dataset,accuracy,f1_score,precision,recall,round,Delta A-F1,Delta A-P,Delta A-R
SVM,google_word2vec_review_vector_lemmatized_no_sw,0.836155556,0.836154187,0.836185523,0.836155556,1,1.36861E-06,-2.99678E-05,0
RF,self_trained_word2vec_review_vector_no_stopwords,0.836066667,0.835836793,0.838001988,0.836066667,2,0.000229874,-0.001935322,0
ANN,self_trained_word2vec_review_vector_stemmed,0.835666667,0.835377808,0.838014263,0.835666667,3,0.000288858,-0.002347597,0
ANN,google_word2vec_review_vector_no_stopwords,0.835333333,0.835257423,0.835965423,0.835333333,3,7.59105E-05,-0.00063209,0
ANN,google_word2vec_review_vector_tokenized,0.835222222,0.834983668,0.837194784,0.835222222,3,0.000238554,-0.001972562,0
ANN,google_word2vec_review_vector_lemmatized_no_sw,0.834955556,0.83490634,0.835365812,0.834955556,3,4.92151E-05,-0.000410256,0
ANN,google_word2vec_review_vector_lemmatized,0.834822222,0.834791082,0.835090529,0.834822222,2,3.11405E-05,-0.000268307,0
ANN,google_word2vec_review_vector_lemmatized,0.834755556,0.834751611,0.834790528,0.834755556,3,3.94441E-06,-3.49729E-05,0
RF,self_trained_word2vec_review_vector_tokenized,0.834666667,0.834628688,0.834983496,0.834666667,3,3.79789E-05,-0.000316829,0
RF,roberta_review_vector_no_stopwords,0.834555556,0.834512025,0.834926386,0.834555556,2,4.3531E-05,-0.000370831,0
RF,roberta_review_vector_stemmed,0.834444444,0.834421999,0.834632913,0.834444444,3,2.24459E-05,-0.000188468,0
RF,self_trained_word2vec_review_vector_lemmatized_no_sw,0.833533333,0.833451586,0.834202727,0.833533333,3,8.17475E-05,-0.000669394,0
SVM,roberta_review_vector_lemmatized,0.832955556,0.832953957,0.832972124,0.832955556,2,1.59828E-06,-1.65688E-05,0
RF,roberta_review_vector_no_stopwords,0.832222222,0.832216797,0.832268666,0.832222222,3,5.42473E-06,-4.64434E-05,0
RF,self_trained_word2vec_review_vector_tokenized,0.831933333,0.831775608,0.833217382,0.831933333,2,0.000157726,-0.001284049,0
ANN,google_word2vec_review_vector_lemmatized,0.831355556,0.831275473,0.831899059,0.831355556,1,8.00822E-05,-0.000543503,0
RF,self_trained_word2vec_review_vector_lemmatized,0.831,0.830962868,0.831299966,0.831,3,3.71316E-05,-0.000299966,0
ANN,roberta_review_vector_stemmed_no_sw,0.829777778,0.829634344,0.831020063,0.829777778,1,0.000143434,-0.001242285,0
RF,roberta_review_vector_stemmed,0.829333333,0.829235175,0.830119257,0.829333333,2,9.8158E-05,-0.000785923,0
RF,roberta_review_vector_lemmatized_no_sw,0.829244444,0.829233521,0.829333535,0.829244444,3,1.09236E-05,-8.90901E-05,0
ANN,google_word2vec_review_vector_lemmatized_no_sw,0.829133333,0.828789337,0.831995535,0.829133333,1,0.000343996,-0.002862202,0
RF,roberta_review_vector_lemmatized_no_sw,0.829111111,0.829070827,0.829439026,0.829111111,2,4.02845E-05,-0.000327915,0
ANN,google_word2vec_review_vector_lemmatized_no_sw,0.828488889,0.828110651,0.831458632,0.828488889,2,0.000378238,-0.002969744,0
RF,self_trained_word2vec_review_vector_lemmatized_no_sw,0.828466667,0.82821864,0.830417355,0.828466667,2,0.000248027,-0.001950689,0
SVM,roberta_review_vector_stemmed,0.828088889,0.828088889,0.828089098,0.828088889,3,0,-2.09374E-07,0
ANN,roberta_review_vector_stemmed_no_sw,0.827844444,0.827467632,0.83070605,0.827844444,3,0.000376812,-0.002861606,0
RF,roberta_review_vector_lemmatized,0.826533333,0.826471556,0.827083637,0.826533333,1,6.17778E-05,-0.000550304,0
RF,self_trained_word2vec_review_vector_lemmatized,0.826466667,0.826278779,0.827921956,0.826466667,2,0.000187887,-0.00145529,0
RF,roberta_review_vector_tokenized,0.826177778,0.826059877,0.827179337,0.826177778,1,0.000117901,-0.001001559,0
SVM,roberta_review_vector_no_stopwords,0.824555556,0.824516674,0.824827439,0.824555556,2,3.88819E-05,-0.000271883,0
ANN,roberta_review_vector_stemmed_no_sw,0.823088889,0.823082819,0.823140037,0.823088889,2,6.06942E-06,-5.11477E-05,0
SVM,roberta_review_vector_no_stopwords,0.822755556,0.822664092,0.823409583,0.822755556,3,9.1464E-05,-0.000654027,0
SVM,roberta_review_vector_lemmatized_no_sw,0.822066667,0.822027233,0.82233639,0.822066667,2,3.94335E-05,-0.000269724,0
SVM,roberta_review_vector_stemmed,0.821577778,0.821571469,0.821630155,0.821577778,2,6.30877E-06,-5.23773E-05,0
RF,self_trained_word2vec_review_vector_no_stopwords,0.819955556,0.819862024,0.820721775,0.819955556,1,9.35314E-05,-0.000766219,0
SVM,roberta_review_vector_lemmatized_no_sw,0.819711111,0.819580022,0.820627336,0.819711111,3,0.000131089,-0.000916224,0
SVM,roberta_review_vector_tokenized,0.816888889,0.816331866,0.821016976,0.816888889,1,0.000557023,-0.004128087,0
RF,self_trained_word2vec_review_vector_tokenized,0.816466667,0.816421263,0.81685065,0.816466667,1,4.54036E-05,-0.000383983,0
